source,list_url,title,url
ai_industry_multi_code_s2,https://www.aitimes.com/news/articleList.html?sc_multi_code=S2&view_type=sm,"엔비디아, 중국 시장 점유율 60% 미만으로 떨어져",https://www.aitimes.com/news/articleView.html?idxno=208698
ai_industry_multi_code_s2,https://www.aitimes.com/news/articleList.html?sc_multi_code=S2&view_type=sm,"구글, 가성비 앞세운 &apos;비오 3.1 라이트 공개...&apos;포스트 소라&apos; 겨냥",https://www.aitimes.com/news/articleView.html?idxno=208700
ai_industry_multi_code_s2,https://www.aitimes.com/news/articleList.html?sc_multi_code=S2&view_type=sm,"스페이스X, 6월 목표로 IPO 신청...21일 투자자 설명회 개최",https://www.aitimes.com/news/articleView.html?idxno=208697
ai_industry_multi_code_s2,https://www.aitimes.com/news/articleList.html?sc_multi_code=S2&view_type=sm,"앤트로픽, 저작권 침해 신고로 &apos;클로드 코드&apos; 소스코드 삭제 나서",https://www.aitimes.com/news/articleView.html?idxno=208696
ai_industry_multi_code_s2,https://www.aitimes.com/news/articleList.html?sc_multi_code=S2&view_type=sm,"MS, 클라우드 관련 영국 정부 두번째 조사 직면",https://www.aitimes.com/news/articleView.html?idxno=208688
ai_industry_multi_code_s2,https://www.aitimes.com/news/articleList.html?sc_multi_code=S2&view_type=sm,"캘리포니아, 트럼프 반대 불구 AI 규제 추진",https://www.aitimes.com/news/articleView.html?idxno=208690
ai_industry_multi_code_s2,https://www.aitimes.com/news/articleList.html?sc_multi_code=S2&view_type=sm,미국인 15% &quot;AI 상사 밑에서 일할 의향 있어&quot;...부정 인식 더 늘어,https://www.aitimes.com/news/articleView.html?idxno=208684
ai_industry_multi_code_s2,https://www.aitimes.com/news/articleList.html?sc_multi_code=S2&view_type=sm,구글 &quot;양자컴퓨터로 비트코인 암호 깨는 데 자원 20배 절감 성공&quot;,https://www.aitimes.com/news/articleView.html?idxno=208668
ai_industry_multi_code_s2,https://www.aitimes.com/news/articleList.html?sc_multi_code=S2&view_type=sm,"누스 리서치, 자가 개선 AI 에이전트 ‘헤르메스 에이전트 v0.6.0’ 버전 공개",https://www.aitimes.com/news/articleView.html?idxno=208679
ai_industry_multi_code_s2,https://www.aitimes.com/news/articleList.html?sc_multi_code=S2&view_type=sm,"프리즘ML, 고밀도 모델 구축하는 획기적인 압축 기술 개발 주장",https://www.aitimes.com/news/articleView.html?idxno=208661
ai_industry_multi_code_s2,https://www.aitimes.com/news/articleList.html?sc_multi_code=S2&view_type=sm,"호주, 10대 이용 금지 위반으로 메타·유튜브 등 적발",https://www.aitimes.com/news/articleView.html?idxno=208675
ai_industry_multi_code_s2,https://www.aitimes.com/news/articleList.html?sc_multi_code=S2&view_type=sm,"네비우스, 유럽 최대 규모의 AI 데이터센터 건설 계획 발표",https://www.aitimes.com/news/articleView.html?idxno=208669
ai_industry_multi_code_s2,https://www.aitimes.com/news/articleList.html?sc_multi_code=S2&view_type=sm,"메타, 기존 안경착용자를 위한 AI 안경 2종 출시...국내로 판매 확대",https://www.aitimes.com/news/articleView.html?idxno=208658
